obs_id,pred_proba
911395,0.06302757
911396,0.13180277
911397,0.13180277
911398,0.13180277
911403,0.05249495
911404,0.13180277
911405,0.13180277
911406,0.13180277
911407,0.05249495
911408,0.13180277
911409,0.13180277
911410,0.13180277
911411,0.13180277
911412,0.046560396
911413,0.11801919
911414,0.11801919
911415,0.11801919
911416,0.11801919
911417,0.11801919
911419,0.046560396
911420,0.11801919
911421,0.11801919
911422,0.11801919
911423,0.11801919
911424,0.11801919
911425,0.046560396
911426,0.11801919
911427,0.11801919
911430,0.01671036
911431,0.020490756
911432,0.020490756
911433,0.020490756
911434,0.014888729
911435,0.020490756
911436,0.020490756
911437,0.020490756
911438,0.020490756
911439,0.020490756
911440,0.020490756
911441,0.020490756
911442,0.014888729
911443,0.020490756
911444,0.020490756
911445,0.020490756
911446,0.020490756
911447,0.020490756
911452,0.018757148
911453,0.023873307
911454,0.023873307
911455,0.023873307
911456,0.023873307
911457,0.023873307
911476,0.018757148
911477,0.023873307
911478,0.023873307
911479,0.023873307
911480,0.023873307
911494,0.018757148
911495,0.023873307
911496,0.023873307
911497,0.024753856
911498,0.024753856
911499,0.024753856
911502,0.018716875
911503,0.023890587
911504,0.023890587
911505,0.023890587
911506,0.023890587
911512,0.018716875
911513,0.023890587
911514,0.023890587
911515,0.023890587
911516,0.023890587
911517,0.023890587
911525,0.018716875
911526,0.023890587
911527,0.023890587
911538,0.051164865
911539,0.12546557
911540,0.12546557
911541,0.12546557
911542,0.12546557
911543,0.12546557
911544,0.12546557
911555,0.051164865
911690,0.0710902
911691,0.10970077
911692,0.10970077
911693,0.05319157
911791,0.05043766
911792,0.12585185
911793,0.12585185
911794,0.12585185
911803,0.04512852
911804,0.13510908
911805,0.13510908
911806,0.13510908
911807,0.13510908
911808,0.13510908
912344,0.018108824
912345,0.08507464
912346,0.08507464
912347,0.08507464
912348,0.08507464
912352,0.028784558
912353,0.08507464
912354,0.08507464
912355,0.08507464
912356,0.08507464
912357,0.08507464
912358,0.08507464
912359,0.08507464
912362,0.028784558
912363,0.08507464
912364,0.08507464
912365,0.08507464
912366,0.08507464
912367,0.08507464
912368,0.08507464
912369,0.08507464
912370,0.08507464
912375,0.028994333
912376,0.08505299
912377,0.08505299
912378,0.08505299
912379,0.08505299
912380,0.08505299
912384,0.028994333
912465,0.035417955
912466,0.023893612
912467,0.03827502
912468,0.03827502
912471,0.017046629
912472,0.03827502
912473,0.03827502
912474,0.03827502
912477,0.017046629
912478,0.03827502
912479,0.03827502
912480,0.034426298
912481,0.011411822
912482,0.023653617
912483,0.023653617
912484,0.023653617
912485,0.023653617
912486,0.023653617
912487,0.023653617
912488,0.023653617
912489,0.011411822
912490,0.023653617
912491,0.023653617
912492,0.023653617
912493,0.023653617
912494,0.011411822
912566,0.08059927
912567,0.15861908
912568,0.15861908
912569,0.15861908
912570,0.15861908
912571,0.15861908
912572,0.15861908
912573,0.15861908
912582,0.07085713
912583,0.15861908
912584,0.15861908
912752,0.044199023
912756,0.035264064
912757,0.1054048
912758,0.1054048
912759,0.1054048
912760,0.1054048
912761,0.1054048
912762,0.035264064
912763,0.1054048
912764,0.1054048
912765,0.1054048
912766,0.1054048
912767,0.1054048
912768,0.1054048
912769,0.1054048
912770,0.035221223
912771,0.0982134
912772,0.0982134
912773,0.0982134
912774,0.0982134
912775,0.0982134
912776,0.0982134
912778,0.035221223
912817,0.055792887
912818,0.12640674
912819,0.12640674
912820,0.12640674
912821,0.12640674
912822,0.12640674
912830,0.046681214
912831,0.12640674
912924,0.056207146
913151,0.044455003
913153,0.055225067
913154,0.14877613
913155,0.14877613
913156,0.14877613
913157,0.14877613
913162,0.056739107
913163,0.15336315
913164,0.15336315
913165,0.15336315
913166,0.15336315
913167,0.15336315
913168,0.15336315
913169,0.15336315
913170,0.15336315
913311,0.08269781
913312,0.15902781
913313,0.15902781
913314,0.15902781
913315,0.06897321
913316,0.15902781
913317,0.15902781
913318,0.15902781
913319,0.15902781
913320,0.15902781
913321,0.15902781
913322,0.15902781
913323,0.15902781
913324,0.15902781
913325,0.09676898
913326,0.20221773
913327,0.20221773
913328,0.20221773
913329,0.20221773
913330,0.20221773
913331,0.20221773
913332,0.20221773
913333,0.20221773
913334,0.20221773
913397,0.06885436
913398,0.13953851
913399,0.13953851
913400,0.13953851
913401,0.13953851
913402,0.13953851
913408,0.04758513
913409,0.13953851
913410,0.13953851
913411,0.13953851
913412,0.13953851
913413,0.13953851
913414,0.13953851
913422,0.051341515
913423,0.13984136
913424,0.13984136
913425,0.13984136
913426,0.13984136
913427,0.13984136
913428,0.13984136
913429,0.13984136
913520,0.07914844
913521,0.17713228
913532,0.0674315
913533,0.17713228
913534,0.17713228
913535,0.17713228
913536,0.17713228
913537,0.17713228
913538,0.17713228
913539,0.17713228
913540,0.17713228
913541,0.17713228
