obs_id,pred_proba
911395,0.28787547
911396,0.2553325
911397,0.2445289
911398,0.22835082
911403,0.27734816
911404,0.21102351
911405,0.19878395
911406,0.18860655
911407,0.18892898
911408,0.14736722
911409,0.14736722
911410,0.14028831
911411,0.12825254
911412,0.12383306
911413,0.12306618
911414,0.1086428
911415,0.07753539
911416,0.105524905
911417,0.10618203
911419,0.07578472
911420,0.101436906
911421,0.105918296
911422,0.08859416
911423,0.0808298
911424,0.04921506
911425,0.10490317
911426,0.0569577
911427,0.08426647
911430,0.16049999
911431,0.12851849
911432,0.12398704
911433,0.11429912
911434,0.14284465
911435,0.07767609
911436,0.15506577
911437,0.09422877
911438,0.11899194
911439,0.09996906
911440,0.072036274
911441,0.074348964
911442,0.06513395
911443,0.068067215
911444,0.063697375
911445,0.101791665
911446,0.065745726
911447,0.048301514
911452,0.059286863
911453,0.06017244
911454,0.09429673
911455,0.058671743
911456,0.07179883
911457,0.05950336
911476,0.068085365
911477,0.070686415
911478,0.059243992
911479,0.092680156
911480,0.08448515
911494,0.06343959
911495,0.08567091
911496,0.055248845
911497,0.054732107
911498,0.052352685
911499,0.043925036
911502,0.050436545
911503,0.054025397
911504,0.04269097
911505,0.04843374
911506,0.043776132
911512,0.05471865
911513,0.04157157
911514,0.07920243
911515,0.04680798
911516,0.06813095
911517,0.039727736
911525,0.040069718
911526,0.06613098
911527,0.039727736
911538,0.090872884
911539,0.073993266
911540,0.073993266
911541,0.073517
911542,0.073517
911543,0.070878945
911544,0.070878945
911555,0.08195167
911690,0.20290011
911691,0.17233437
911692,0.16153982
911693,0.09359049
911791,0.2248611
911792,0.18116432
911793,0.1713443
911794,0.15331517
911803,0.15968795
911804,0.1443343
911805,0.13369906
911806,0.12603234
911807,0.10870012
911808,0.102278456
912344,0.23508802
912345,0.19761501
912346,0.18932721
912347,0.17524353
912348,0.16753943
912352,0.20436196
912353,0.14888845
912354,0.1366078
912355,0.11954081
912356,0.1163044
912357,0.11485844
912358,0.107580364
912359,0.0953324
912362,0.1123834
912363,0.092983685
912364,0.092983685
912365,0.092983685
912366,0.079656094
912367,0.078555785
912368,0.078555785
912369,0.078354664
912370,0.078354664
912375,0.08518347
912376,0.07311074
912377,0.07311074
912378,0.072159104
912379,0.0665058
912380,0.0665058
912384,0.06338212
912465,0.011171382
912466,0.16246103
912467,0.12773411
912468,0.12322642
912471,0.14858945
912472,0.11125554
912473,0.10692362
912474,0.10175163
912477,0.12171599
912478,0.07579289
912479,0.073966414
912480,0.073966414
912481,0.11307503
912482,0.084263444
912483,0.08317724
912484,0.08433815
912485,0.06254957
912486,0.06254957
912487,0.0548348
912488,0.0548348
912489,0.08680181
912490,0.07395785
912491,0.07395785
912492,0.07110788
912493,0.070020236
912494,0.07579818
912566,0.16137859
912567,0.13411878
912568,0.12780187
912569,0.11425519
912570,0.105874255
912571,0.10297035
912572,0.0832765
912573,0.08066876
912582,0.062998444
912583,0.068247154
912584,0.067913264
912752,0.1875757
912756,0.24317107
912757,0.18534915
912758,0.17149878
912759,0.16304854
912760,0.15587501
912761,0.1445452
912762,0.17141972
912763,0.12156148
912764,0.11827777
912765,0.117056906
912766,0.10903569
912767,0.09663995
912768,0.094744794
912769,0.09426237
912770,0.1052113
912771,0.09051167
912772,0.07468103
912773,0.07205709
912774,0.071067
912775,0.070883565
912776,0.070883565
912778,0.06734658
912817,0.25673482
912818,0.12291453
912819,0.20676263
912820,0.18779187
912821,0.18260284
912822,0.17502311
912830,0.15697944
912831,0.12910202
912924,0.020165665
913151,0.31549776
913153,0.30973774
913154,0.26022255
913155,0.24347427
913156,0.23506708
913157,0.22458221
913162,0.23068012
913163,0.19996881
913164,0.16131508
913165,0.1577795
913166,0.1577795
913167,0.14844169
913168,0.12695403
913169,0.12645127
913170,0.120804496
913311,0.3325486
913312,0.27580425
913313,0.2650843
913314,0.24805902
913315,0.29365122
913316,0.21829498
913317,0.20513222
913318,0.19585285
913319,0.16366121
913320,0.1670083
913321,0.15767248
913322,0.15741295
913323,0.1400195
913324,0.13033998
913325,0.17839387
913326,0.14907905
913327,0.14907905
913328,0.12695801
913329,0.122947186
913330,0.122947186
913331,0.109006815
913332,0.109006815
913333,0.10141235
913334,0.11214198
913397,0.2446421
913398,0.19033976
913399,0.18245232
913400,0.16877356
913401,0.2549902
913402,0.15335213
913408,0.1736963
913409,0.13524717
913410,0.119504966
913411,0.11626947
913412,0.115668766
913413,0.10747283
913414,0.09523578
913422,0.10254312
913423,0.08850541
913424,0.087967634
913425,0.087967634
913426,0.07256434
913427,0.06967285
913428,0.068713084
913429,0.068713084
913520,0.22557434
913521,0.18917753
913532,0.3104071
913533,0.24082132
913534,0.21652594
913535,0.20680949
913536,0.1555374
913537,0.1480835
913538,0.1257669
913539,0.11614388
913540,0.115283266
913541,0.10970867
913542,0.097778164
913543,0.10149218
913544,0.10006633
913553,0.14886808
913554,0.13624951
913555,0.11172314
913556,0.10794953
913564,0.09818616
913565,0.08185585
913822,0.018730676
913823,0.21354692
913824,0.1728119
913825,0.16550232
913826,0.15174635
913827,0.14434089
913828,0.13989902
913829,0.12363598
913830,0.11659925
913831,0.10276962
913832,0.099935725
913833,0.099181764
913834,0.0910129
913835,0.081875704
913843,0.06507126
913863,0.016176563
914051,0.18865454
914052,0.16456674
914053,0.1578576
914054,0.14527647
914055,0.13813533
914056,0.13172473
914057,0.12253447
914063,0.11361586
914064,0.101354375
914065,0.098344564
914066,0.097601295
914067,0.08942146
914068,0.08127097
914069,0.024496786
914242,0.021305759
914315,0.0727743
914316,0.061352078
914359,0.022818834
914530,0.20493753
914531,0.1667554
914534,0.28064677
914535,0.22741017
914536,0.21040297
914537,0.22128077
914538,0.17800064
914539,0.19032612
914540,0.16011223
914541,0.16369857
914542,0.15576519
914543,0.14654584
914544,0.12939271
914551,0.09843172
914552,0.105013564
914860,0.23814565
914861,0.197081
914862,0.18844402
914863,0.17132436
914864,0.16288103
914865,0.15571351
914866,0.14438124
914885,0.18058023
914886,0.121176906
914887,0.1187823
914888,0.11790482
914889,0.10983273
